step,rank,param_name,norm,mean,max,min
0,0,module.model.layers.31.self_attn.v_proj.weight,4.7578125,-5.960464477539063e-08,0.462158203125,-0.497802734375
0,0,module.model.layers.31.self_attn.k_proj.weight,2.439453125,-5.960464477539063e-08,0.4638671875,-0.62841796875
0,0,module.model.layers.31.self_attn.q_proj.weight,1.65625,-0.0,0.158447265625,-0.213623046875
0,0,module.model.layers.31.input_layernorm.weight,1.1640625,-0.0002765655517578125,0.30322265625,-0.77783203125
0,0,module.model.layers.30.mlp.down_proj.weight,8.203125,2.384185791015625e-07,0.2646484375,-0.346435546875
0,0,module.model.layers.30.mlp.up_proj.weight,4.64453125,1.1920928955078125e-07,0.197998046875,-0.1539306640625
0,0,module.model.layers.30.mlp.gate_proj.weight,3.75390625,-5.960464477539063e-08,0.152587890625,-0.1318359375
0,0,module.model.layers.30.post_attention_layernorm.weight,0.405029296875,0.00027441978454589844,0.10943603515625,-0.264892578125
0,0,module.model.layers.30.self_attn.o_proj.weight,2.158203125,-0.0,0.08306884765625,-0.08050537109375
0,0,module.model.layers.30.self_attn.v_proj.weight,3.1328125,1.1920928955078125e-07,0.2327880859375,-0.270263671875
0,0,module.model.layers.30.self_attn.k_proj.weight,1.583984375,-0.0,0.225830078125,-0.1788330078125
0,0,module.model.layers.30.self_attn.q_proj.weight,1.44140625,0.0,0.192138671875,-0.100341796875
0,0,module.model.layers.30.input_layernorm.weight,0.51708984375,0.00010544061660766602,0.48828125,-0.12347412109375
0,0,module.model.layers.29.mlp.down_proj.weight,4.5078125,0.0,0.052032470703125,-0.07135009765625
0,0,module.model.layers.29.mlp.up_proj.weight,3.546875,-5.960464477539063e-08,0.05792236328125,-0.06341552734375
0,0,module.model.layers.29.mlp.gate_proj.weight,3.23046875,-5.960464477539063e-08,0.344970703125,-0.275146484375
0,0,module.model.layers.29.post_attention_layernorm.weight,0.3095703125,0.00027370452880859375,0.2064208984375,-0.07098388671875
0,0,module.model.layers.29.self_attn.o_proj.weight,1.427734375,-1.1920928955078125e-07,0.031219482421875,-0.0227508544921875
0,0,module.model.layers.29.self_attn.v_proj.weight,2.65234375,0.0,0.25048828125,-0.241455078125
0,0,module.model.layers.29.self_attn.k_proj.weight,0.78955078125,0.0,0.1258544921875,-0.07232666015625
0,0,module.model.layers.29.self_attn.q_proj.weight,0.8173828125,-1.1920928955078125e-07,0.11712646484375,-0.0672607421875
0,0,module.model.layers.29.input_layernorm.weight,1.1748046875,0.000518798828125,1.0556640625,-0.01413726806640625
0,0,module.model.layers.28.mlp.down_proj.weight,4.00390625,-5.960464477539063e-08,0.06195068359375,-0.08966064453125
